timestamp,1153_transform_pitch,1153_transform_yaw,1153_transform_roll,1153_vel_x (m/s),1153_vel_y (m/s),1153_vel_z (m/s),1153_angular_vel_x (rad/s),1153_angular_vel_y (rad/s),1153_angular_vel_z (rad/s),1153_acc_x (m/s²),1153_acc_y (m/s²),1153_acc_z (m/s²) gravity,1154_transform_pitch,1154_transform_yaw,1154_transform_roll,1154_vel_x (m/s),1154_vel_y (m/s),1154_vel_z (m/s),1154_angular_vel_x (rad/s),1154_angular_vel_y (rad/s),1154_angular_vel_z (rad/s),1154_acc_x (m/s²),1154_acc_y (m/s²),1154_acc_z (m/s²) gravity
1576242966401,-0.36,-4.06,0.29,6.61,-0.29,-0.0,2.37,-0.28,6.89,3.52,-3.3,0.0,0.52,-179.74,-0.08,-1.71,-0.07,0.0,-0.09,1.08,2.25,-5.88,-0.01,-0.01
1576242966521,-0.36,-3.97,0.09,6.78,-0.49,-0.0,3.68,-0.33,-0.12,3.39,-3.83,0.0,0.56,-179.62,-0.08,-1.98,-0.08,0.0,-0.06,0.71,2.38,-5.3,-0.18,-0.01
1576242966637,-0.35,-4.22,-0.16,6.92,-0.76,-0.0,4.9,-0.48,-7.14,2.78,-5.55,0.0,0.59,-179.49,-0.08,-2.23,-0.1,0.0,-0.11,0.44,2.65,-4.95,-0.28,-0.01
1576242966760,-0.35,-4.8,-0.37,7.06,-0.99,-0.0,3.49,-0.4,-13.44,2.82,-4.46,0.0,0.6,-179.35,-0.09,-2.46,-0.11,0.0,-0.16,0.25,2.98,-4.72,-0.34,-0.0
1576242966880,-0.33,-5.33,-0.35,7.13,-0.94,-0.0,-1.14,-0.41,-9.49,1.38,1.0,0.0,0.61,-179.5,0.05,-2.68,0.09,0.0,3.87,0.08,-5.63,-4.29,4.07,-0.0
1576242966992,-0.28,-5.37,-0.02,7.09,-0.49,-0.0,-8.64,-0.33,4.08,-0.66,9.02,0.0,0.61,-179.55,0.07,-2.9,-0.03,0.0,-0.69,0.04,0.61,-4.53,-2.43,-0.0
1576242967113,-0.23,-4.86,0.32,7.1,-0.21,-0.0,-5.61,-0.55,12.69,0.07,5.53,0.0,0.61,-179.51,0.03,-3.13,-0.04,0.0,-0.56,0.02,0.88,-4.51,-0.27,-0.0
1576242967229,-0.18,-4.11,0.5,7.07,-0.03,-0.0,-2.72,-0.77,15.8,-0.54,3.58,-0.0,0.61,-179.32,-0.06,-3.34,-0.14,0.0,-1.88,-0.03,4.48,-4.31,-1.97,-0.0
1576242967350,-0.14,-3.51,0.4,7.08,-0.17,-0.0,2.71,-0.82,10.52,0.18,-2.78,0.0,0.61,-179.11,-0.11,-3.56,-0.16,0.0,-0.92,-0.02,4.13,-4.41,-0.34,-0.0
1576242967477,-0.1,-3.42,0.08,7.02,-0.51,-0.0,6.59,-1.08,-1.68,-1.25,-6.81,0.0,0.61,-178.94,-0.13,-3.78,-0.16,0.0,-0.15,-0.02,3.25,-4.38,0.02,-0.0
